CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster,Cluster_Name,PCA1,PCA2
10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000,201.802084,139.509787,0.0,12,0,Low to Moderate Activity Customers,-2.5879615287528526,0.07784336599559939
10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000,4103.032597,1072.340217,0.222222,12,0,Low to Moderate Activity Customers,-0.22554468730666066,1.786332325016184
10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500,622.066742,627.284787,0.0,12,0,Low to Moderate Activity Customers,-0.19657951852877464,-0.3321405674467629
10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500,0.0,312.343947,0.0,12,0,Low to Moderate Activity Customers,-0.6393881429269741,-1.0404884905437006
10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200,678.334763,244.791237,0.0,12,0,Low to Moderate Activity Customers,-2.197510734890693,0.3054605116569448
10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800,1400.05777,2407.246035,0.0,12,0,Low to Moderate Activity Customers,1.2688375319041547,2.2068083037614357
10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500,6354.314328,198.065894,1.0,12,1,High Value Active Purchasers,9.394914262283363,-9.144087796297171
10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300,679.065082,532.03399,0.0,12,0,Low to Moderate Activity Customers,-1.260950104935732,0.3306536769264278
10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000,688.278568,311.963409,0.0,12,0,Low to Moderate Activity Customers,-0.943993517764897,-0.41609434716539134
10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000,1164.770591,100.302262,0.0,12,0,Low to Moderate Activity Customers,-0.988122379612609,-1.439121471667849
